"longitude","latitude"
194.6855,70.7639
194.7462,70.5463
194.8056,70.3289
194.8636,70.1116
194.9204,69.8944
194.9759,69.6773
195.0303,69.4604
195.0834,69.2436
195.1355,69.0269
195.1864,68.8104
195.3801,67.9456
195.4261,67.7298
195.4712,67.5141
195.5154,67.2986
195.5588,67.0832
195.6013,66.868
195.643,66.6529
195.684,66.438
195.7242,66.2232
195.7636,66.0086
196.0206,64.5109
196.0548,64.2976
196.0884,64.0845
196.1215,63.8715
196.154,63.6588
196.1859,63.4462
196.2174,63.2338
196.6822,59.6514
196.706,59.4424
196.7295,59.2336
196.7527,59.0251
196.7755,58.8167
196.798,58.6085
196.8202,58.4006
24.514,64.7084
24.5538,64.9219
24.5942,65.1355
24.6355,65.3493
24.6774,65.5633
24.7201,65.7774
25.9061,70.5251
25.9743,70.7424
26.0441,70.9598
26.1155,71.1773
26.1886,71.3949
26.2635,71.6126
26.3402,71.8305
26.4188,72.0484
26.4993,72.2664
26.5819,72.4846
26.6667,72.7028
26.7536,72.9211
26.8428,73.1395
26.9343,73.3579
27.0284,73.5765
27.125,73.7951
27.2243,74.0138
27.3264,74.2326
27.4314,74.4514
27.5394,74.6703
27.6506,74.8893
27.7652,75.1083
27.8831,75.3273
28.0047,75.5464
28.1301,75.7655
28.2594,75.9847
28.3929,76.2039
28.5308,76.4231
28.6732,76.6424
28.8204,76.8617
28.9726,77.0809
29.1302,77.3002
29.2933,77.5194
29.4623,77.7387
29.6375,77.9579
29.8193,78.1771
30.008,78.3963
30.204,78.6154
30.4077,78.8345
30.6196,79.0535
30.8403,79.2724
31.0702,79.4913
31.3099,79.71
31.5601,79.9286
31.8215,80.1472
32.0948,80.3655
32.3808,80.5837
32.6804,80.8018
32.9946,81.0196
33.3245,81.2372
33.6713,81.4546
34.0362,81.6717
34.4208,81.8885
34.8265,82.105
35.2551,82.3211
35.7086,82.5369
36.1892,82.7522
36.6992,82.9669
37.2415,83.1812
37.8189,83.3949
38.4349,83.6078
39.0935,83.8201
39.7989,84.0315
40.556,84.242
41.3706,84.4514
42.249,84.6597
43.1986,84.8667
176.8014,84.8667
177.751,84.6597
178.6294,84.4514
179.444,84.242
180.2011,84.0315
180.9065,83.8201
181.565,83.6078
182.1811,83.3949
182.7585,83.1812
183.3008,82.9669
183.8108,82.7522
184.2914,82.5369
184.7449,82.3211
185.1735,82.105
185.5792,81.8885
185.9638,81.6717
186.3287,81.4546
186.6755,81.2372
187.0054,81.0196
187.3196,80.8018
187.6192,80.5837
187.9052,80.3655
188.1785,80.1472
188.4399,79.9286
188.6901,79.71
188.9298,79.4913
189.1597,79.2724
189.3803,79.0535
189.5923,78.8345
189.796,78.6154
189.992,78.3963
190.1807,78.1771
190.3625,77.9579
190.5377,77.7387
190.7067,77.5194
190.8698,77.3002
191.0274,77.0809
191.1796,76.8617
191.3268,76.6424
191.4692,76.4231
